StopID,Route,DailyBoard
7215,16,9.72
7215,31,4.01
7215,37,2.52
7215,38,10.26
7219,35,0.33
7223,35,0.17
7223,39,3.34
7226,31,0.17
7230,32,0.54
7232,16,58.48
7232,31,1.17
7232,38,0.34
7233,33,0.17
7235,39,2
7243,35,4.51
7245,35,0.67
7248,33,0.83
7255,32,0.54
7255,35,0.5
7258,33,0.83
7260,38,0.5
7263,32,2.69
7263,33,0.33
7263,35,0.17
7272,38,1.18
7277,39,0.17
7302,31,1.17
7306,39,0.17
7310,32,1.98
7310,33,0.17
7313,32,1.08
7313,35,3
7319,33,1.67
7320,35,2
7324,39,1.84
7325,35,0.17
7326,33,1.83
7328,16,4.36
7328,38,5.55
7331,31,1.84
7331,39,8.51
7333,35,0.67
7341,38,0.34
7348,16,0.84
7351,31,1.34
7365,33,1.17
7369,32,0.18
7369,35,2.34
7374,39,3.84
7379,16,2.01
7379,31,1.17
7379,37,0.17
7379,38,6.89
7381,32,0.18
7384,38,1.18
7385,31,2.01
7388,16,4.02
7391,31,0.33
7391,39,2.34
7392,35,1
7398,30,1.17
7398,32,0.72
7398,33,2.33
7398,35,1.67
7398,39,1.17
7399,38,1.18
7410,35,1.5
7415,33,0.67
7416,35,0.33
7417,31,4.01
7417,39,5.01
7419,38,1.01
7443,33,0.33
7446,38,5.88
7447,33,3.83
7460,37,4.7
7460,38,6.05
7465,33,3.83
7466,38,3.19
7470,33,0.17
7471,35,0.17
7475,38,2.19
7479,32,1.44
7489,37,1.34
7492,33,0.67
7494,38,1.85
7499,31,1
7499,37,2.18
7507,35,0.17
7514,39,0.5
7526,33,7.83
7527,35,0.33
7531,33,0.17
7532,35,0.33
7538,37,0.67
7538,39,7.84
7540,32,0.36
7540,33,2.33
7540,35,0.17
7544,39,0.33
7547,33,0.33
7550,35,0.33
7558,35,1.5
7559,16,0.5
7559,39,0.17
7560,33,2.5
7567,38,3.53
7569,31,1.34
7578,16,4.69
7583,39,1.67
7587,33,4.83
7601,32,0.18
7601,35,0.83
7605,16,29.49
7605,31,3.84
7605,38,1.68
7608,35,3.34
7610,32,1.26
7617,31,0.33
7617,39,0.17
7619,35,0.17
7620,33,2.83
7624,32,0.18
7633,30,0.17
7633,33,0.5
7640,16,3.85
7661,35,0.17
7662,37,0.34
7663,16,1.01
7663,38,0.67
7668,31,1.34
7670,38,0.17
7670,39,0.17
7675,38,0.5
7679,38,3.19
7680,32,0.9
7680,35,2.67
7689,39,0.33
7694,16,0.34
7699,33,4
7706,39,0.83
7716,16,2.18
7717,33,0.67
7718,37,0.5
7718,38,4.37
7723,33,5
7729,16,3.69
7729,38,3.87
7733,33,3.17
7734,30,3.17
7734,32,2.16
7734,33,6.5
7734,35,4.67
7739,16,55.96
7739,31,13.87
7739,38,2.52
7745,16,0.34
7745,31,0.84
7745,38,4.88
7748,32,0.18
7748,33,2.17
7751,35,1
7758,38,2.35
7760,35,1.34
7762,32,0.9
7764,35,0.17
7766,32,0.18
7766,35,0.33
7778,33,2.5
7782,39,0.33
7792,35,0.17
7802,38,0.84
7812,32,0.18
7814,33,0.5
7815,39,6.84
7823,16,2.85
7825,32,0.18
7825,35,0.33
7829,38,4.71
7832,30,0.17
7832,32,0.18
7832,33,0.83
7834,16,12.4
7834,31,2.01
7836,32,0.9
7836,35,0.33
7838,16,4.52
7838,38,2.69
7840,32,1.8
7840,35,0.17
7843,37,0.5
7846,30,0.33
7846,32,1.44
7846,33,2.33
7846,35,0.67
7849,35,0.17
7852,35,0.67
7861,35,1.34
7861,39,2.84
7880,32,0.18
7888,16,1.17
7888,31,1.34
7892,33,0.17
7898,32,0.18
7906,32,0.9
7906,35,2.67
7907,33,0.17
7912,32,0.36
7912,35,1.34
7913,32,0.72
7916,35,4.01
7917,38,0.34
7919,35,5.17
7920,31,1.67
7925,32,4.49
7925,35,4.84
7926,38,1.35
7929,33,2.17
7933,35,2
7940,33,1
7943,32,0.72
7943,35,1.84
7944,33,1
7948,30,0.67
7948,33,1.33
7948,35,0.33
7955,31,0.33
7968,39,2
7969,35,4.01
7984,32,0.18
7987,39,4.34
7990,39,0.17
7991,32,0.72
7991,35,0.17
7996,31,0.17
8100,50,12.92
8100,51,1.83
8100,57,1.33
8101,51,3.33
8101,56,0.5
8118,50,1.68
8119,50,35.91
8119,58,0.33
8124,58,0.17
8131,50,20.98
8131,58,0.5
8134,56,0.17
8135,56,1.83
8137,56,1
8138,50,0.17
8138,51,0.5
8149,51,0.5
8149,56,4.17
8151,57,5.33
8152,58,0.33
8154,18,1.35
8155,56,1.83
8157,51,1
8157,56,2.67
8160,58,3.01
8163,56,3.17
8166,50,7.89
8173,18,0.34
8173,51,0.5
8173,56,3.33
8174,55,3.03
8180,58,3.51
8188,50,11.75
8191,58,0.33
8200,56,0.17
8207,57,3
8213,50,6.21
8213,58,0.33
8218,56,1
8224,51,0.17
8230,56,1.17
8235,50,17.96
