speed_limi,funct_clas,sidewalk,StopID,Route,len_mi
45,6,,9140,36,0.01519
45,6,,9144,6,0.21878
45,6,,9153,6,0.22412
45,6,,9173,26,0.0954
45,6,,9186,6,0.2141
45,6,,9198,6,0.32451
45,6,,9252,6,0.15892
45,6,,9285,6,0.32611
45,6,,9701,26,0.09726
45,6,,9842,6,0.43189
45,6,,9857,6,0.22318
45,6,,9977,6,0.43189
45,6,,9993,6,0.12152
45,6,,9118,26,0.15153
45,6,,9264,26,0.24069
45,6,,9412,26,0.04308
45,6,,7929,33,0.13102
45,6,,7148,33,0.27273
45,6,,7547,33,0.03318
45,6,,9785,33,0.04207
45,6,,9181,33,0.15896
45,6,,9234,33,0.18236
45,6,,9140,36,0.17235
45,6,,9173,26,0.04656
45,6,,9310,36,0.29793
45,6,,9615,26,0.23354
45,6,,9620,36,0.02595
45,6,,9701,26,0.15328
45,6,,9720,26,0.26243
45,6,,3243,31,0.00564
45,6,,3758,31,0.1615
45,6,,9113,26,0.25888
45,6,,9153,6,0.03953
45,6,,9186,6,0.05824
45,6,,9527,26,0.09928
45,6,,9842,6,0.06016
45,6,,9977,6,0.05461
45,6,,9113,26,0.33158
45,6,,9131,26,0.07862
45,6,,9153,6,0.14987
45,6,,9186,6,0.15632
45,6,,9273,26,0.08048
45,6,,9527,26,0.23982
45,6,,9581,26,0.09026
45,6,,9842,6,0.06437
45,6,,9118,26,0.11646
45,6,,9264,26,0.20542
45,6,,9349,26,0.05676
45,6,,9412,26,0.08759
45,6,,9615,26,0.02367
45,6,,9720,26,0.04645
45,6,,9842,6,0.01766
45,6,,9977,6,0.01944
45,6,,9144,6,0.04212
45,6,,9153,6,0.06862
45,6,,9186,6,0.05456
45,6,,9198,6,0.29083
45,6,,9285,6,0.2818
45,6,,9842,6,0.27413
45,6,,9857,6,0.04791
45,6,,9977,6,0.2796
45,6,,9140,36,0.10478
45,6,,9173,26,0.12717
45,6,,9198,6,0.17984
45,6,,9285,6,0.16068
45,6,,9701,26,0.18172
45,6,,9977,6,0.07191
45,6,,9153,6,0.14987
45,6,,9186,6,0.14739
45,6,,9198,6,0.05725
45,6,,9842,6,0.22415
