ZONING_COD,StopID,Route,area_sq_mi
IL,170,4,0.012620814
IL,170,47,0.012620814
IL,353,4,0.003596575
IL,353,18,0.003596575
IL,353,40,0.003596575
IL,353,49,0.003596575
IL,391,4,0.007748395
IL,391,47,0.007748395
IL,405,4,0.011565789
IL,405,47,0.011565789
IL,456,4,0.009289998
IL,456,47,0.009289998
IL,499,4,0.006940356
IL,499,47,0.006940356
IL,499,75,0.006940356
IL,782,4,1.52901E-06
IL,782,40,1.52901E-06
IL,816,40,0.006121145
IL,816,47,0.006121145
IL,816,49,0.006121145
IL,816,75,0.006121145
CN,6291,70,4.76373E-05
CN,6291,71,4.76373E-05
CN,6291,72,4.76373E-05
CN,6326,70,0.00406915
CN,6326,71,0.00406915
CN,6326,72,0.00406915
CN,6569,70,0.002434746
CN,6569,72,0.002434746
SR-C3,6129,14,0.01568612
SR-C3,6129,67,0.01568612
SR-C3,6148,14,0.001270265
SR-C3,6239,14,0.003724164
SR-C3,6244,14,0.020341082
SR-C3,6300,14,0.006895894
SR-C3,6323,14,0.000503537
SR-C3,6330,14,0.007794897
SR-C3,6330,67,0.007794897
SR-C3,6351,14,0.02054494
SR-C3,6447,14,0.007338662
SR-C3,6459,14,0.003104106
SR-C3,6516,14,0.019417964
SR-C3,6516,67,0.019417964
SR-C3,6724,67,0.002712434
SR-C3,6858,14,0.002867971
SR-C3,6903,14,0.012514294
SR-C3,6903,67,0.012514294
SR-C3,6941,14,0.002744976
SR-C3,6941,67,0.002744976
PD,5149,22,0.001395896
PD,5162,22,0.001238389
PD,5223,29,0.000248441
PD,5236,29,0.001330375
PD,5335,21,0.000422486
PD,5346,21,0.005003628
PD,5346,22,0.005003628
PD,5366,21,0.002881983
PD,5366,22,0.002881983
PD,5414,21,0.001235041
PD,5884,29,0.004240112
PD,5899,22,0.005003628
PD,8297,51,0.000979941
PD,8297,52,0.000979941
PD,8341,51,0.001338201
PD,8352,50,0.009220298
PD,8352,56,0.009220298
PD,8363,51,0.009220298
PD,8363,56,0.009220298
PD,8401,51,0.009220298
PD,8401,56,0.009220298
PD,8428,52,0.002041674
PD,8512,50,0.003885949
PD,8512,56,0.003885949
PD,8712,50,0.009220298
PD,8712,56,0.009220298
PD,8796,50,0.002818429
PD,8937,56,0.000583546
UMX,87,1,0.000277086
UMX,87,10,0.000277086
UMX,87,19,0.000277086
UMX,87,38,0.000277086
UMX,87,82,0.000277086
UMX,274,5,0.000277086
UMX,274,27,0.000277086
UMX,274,47,0.000277086
UMX,274,75,0.000277086
UMX,418,5,0.000277086
UMX,418,27,0.000277086
UMX,418,47,0.000277086
UMX,418,75,0.000277086
UMX,469,5,0.000156189
UMX,469,27,0.000156189
UMX,469,47,0.000156189
UMX,469,75,0.000156189
UMX,470,1,0.000277086
UMX,470,10,0.000277086
UMX,470,19,0.000277086
UMX,470,38,0.000277086
UMX,473,5,0.000277086
UMX,473,27,0.000277086
UMX,473,47,0.000277086
UMX,473,75,0.000277086
UMX,512,5,0.000277086
UMX,512,27,0.000277086
UMX,512,47,0.000277086
UMX,512,75,0.000277086
UMX,520,10,0.000277086
UMX,520,19,0.000277086
UMX,520,38,0.000277086
UMX,520,82,0.000277086
UMX,549,4,0.000216144
UMX,549,6,0.000216144
UMX,549,29,0.000216144
UMX,558,82,0.000277086
UMX,593,1,0.000277086
UMX,593,10,0.000277086
UMX,593,19,0.000277086
UMX,593,38,0.000277086
UMX,593,82,0.000277086
UMX,710,1,0.000277086
UMX,710,10,0.000277086
UMX,710,19,0.000277086
UMX,710,38,0.000277086
UMX,710,82,0.000277086
UMX,768,5,0.000277086
UMX,768,27,0.000277086
UMX,768,75,0.000277086
UMX,839,2,0.000277086
UMX,839,3,0.000277086
UMX,839,10,0.000277086
UMX,839,11,0.000277086
UMX,839,12,0.000277086
UMX,839,14,0.000277086
UMX,839,15,0.000277086
UMX,839,27,0.000277086
UMX,839,28,0.000277086
UMX,839,37,0.000277086
UMX,839,47,0.000277086
UMX,839,57,0.000277086
UMX,839,58,0.000277086
UMX,839,70,0.000277086
UMX,839,71,0.000277086
UMX,839,72,0.000277086
UMX,853,82,0.000277086
UMX,941,1,0.000270719
UMX,941,2,0.000270719
UMX,941,3,0.000270719
UMX,941,10,0.000270719
UMX,941,11,0.000270719
UMX,941,12,0.000270719
UMX,941,14,0.000270719
UMX,941,15,0.000270719
UMX,941,19,0.000270719
UMX,941,28,0.000270719
UMX,941,37,0.000270719
UMX,941,38,0.000270719
UMX,941,47,0.000270719
UMX,941,56,0.000270719
UMX,941,57,0.000270719
UMX,941,58,0.000270719
UMX,941,70,0.000270719
UMX,941,71,0.000270719
UMX,941,72,0.000270719
UMX,965,1,0.000277086
UMX,965,10,0.000277086
UMX,965,19,0.000277086
UMX,965,38,0.000277086
UMX,965,82,0.000277086
UMX,967,5,0.000277086
UMX,967,27,0.000277086
UMX,967,47,0.000277086
UMX,967,75,0.000277086
UMX,969,13,1.51862E-06
UMX,989,5,0.000277086
UMX,989,27,0.000277086
UMX,989,47,0.000277086
UMX,989,75,0.000277086
PD,1167,3,0.000750741
PD,1167,4,0.000750741
PD,1167,38,0.000750741
PD,1190,3,6.73907E-06
PD,1190,4,6.73907E-06
PD,1190,10,6.73907E-06
PD,1190,38,6.73907E-06
PD,1194,3,0.000750741
PD,1194,4,0.000750741
PD,1194,10,0.000750741
PD,1194,38,0.000750741
PD,1480,3,0.000750741
PD,1480,4,0.000750741
PD,1480,10,0.000750741
PD,1480,38,0.000750741
PD,1509,3,0.000750741
PD,1509,4,0.000750741
PD,1509,10,0.000750741
PD,1509,38,0.000750741
PD,1536,3,0.000750741
PD,1536,4,0.000750741
PD,1536,10,0.000750741
PD,1536,38,0.000750741
PD,1565,6,0.000348201
PD,1565,14,0.000348201
PD,1565,15,0.000348201
PD,1565,27,0.000348201
PD,1565,56,0.000348201
PD,1615,3,0.000750741
PD,1615,4,0.000750741
PD,1615,10,0.000750741
PD,1615,38,0.000750741
PD,1720,3,0.000750741
PD,1720,4,0.000750741
PD,1720,10,0.000750741
PD,1720,38,0.000750741
PD,7258,33,0.00322451
PD,7415,33,0.009712504
PD,7443,33,0.00565184
PD,7526,33,0.006094574
PD,7778,33,0.008259275
TR-C3,2885,3,0.000513718
TR-C3,2885,58,0.000513718
TR-C3,2255,3,2.67171E-05
TR-C3,2255,58,2.67171E-05
TR-C3,2566,3,0.000513718
TR-C3,2566,58,0.000513718
TR-C3,2608,3,0.000513718
TR-C3,2608,58,0.000513718
CN,6483,73,9.47603E-05
CN,2729,3,0.003766899
CN,2729,58,0.003766899
CN,2872,3,0.003766899
CN,2872,58,0.003766899
CN,2119,3,0.003766899
CN,2119,58,0.003766899
CN,2187,18,0.002103686
CN,2224,3,0.003731845
CN,2224,58,0.003731845
CN,2433,3,0.000804984
CN,2433,58,0.000804984
CN,2615,6,0.000377245
CN,2615,18,0.000377245
CN,2634,18,0.003708414
PD,1107,6,0.002818358
PD,1107,14,0.002818358
PD,1107,15,0.002818358
PD,1107,56,0.002818358
PD,1125,37,0.002818358
PD,1188,3,0.002818358
PD,1188,4,0.002818358
PD,1188,10,0.002818358
PD,1188,37,0.002818358
PD,1241,6,0.002818358
PD,1241,14,0.002818358
PD,1241,15,0.002818358
PD,1241,25,0.002818358
PD,1241,37,0.002818358
PD,1264,4,0.0027245
PD,1264,10,0.0027245
PD,1350,6,0.002818358
PD,1350,14,0.002818358
PD,1350,15,0.002818358
PD,1350,25,0.002818358
PD,1350,27,0.002818358
PD,1350,29,0.002818358
PD,1350,37,0.002818358
PD,1350,56,0.002818358
PD,1350,57,0.002818358
PD,1382,6,0.002818358
PD,1382,14,0.002818358
PD,1382,15,0.002818358
PD,1382,56,0.002818358
PD,1382,57,0.002818358
PD,1472,3,0.002818358
PD,1472,4,0.002818358
PD,1472,10,0.002818358
PD,1499,4,0.002818358
PD,1499,10,0.002818358
PD,1575,4,1.56946E-05
PD,1575,10,1.56946E-05
PD,1645,3,0.000207808
PD,1645,4,0.000207808
PD,1645,10,0.000207808
PD,1712,3,0.00060998
PD,1712,37,0.00060998
PD,1753,3,0.002818358
PD,1753,37,0.002818358
PD,1830,3,0.002818358
PD,1830,4,0.002818358
PD,1830,10,0.002818358
PD,1830,37,0.002818358
PD,1847,27,0.000855423
PD,1847,29,0.000855423
PD,1901,3,0.002818358
PD,1901,4,0.002818358
PD,1935,3,0.002818358
PD,1935,4,0.002818358
PD,1935,10,0.002818358
PD,1961,3,0.000162726
IL,1220,5,0.008593246
IL,1220,14,0.008593246
IL,1220,15,0.008593246
IL,1420,17,0.003801752
IL,1420,34,0.003801752
IL,1437,5,0.007858149
IL,1462,5,0.007612014
IL,1462,14,0.007612014
IL,1462,15,0.007612014
IL,1482,5,1.8048E-06
IL,1482,14,1.8048E-06
IL,1482,15,1.8048E-06
IL,1555,17,0.005566218
IL,1555,34,0.005566218
IL,1751,5,0.005479499
IL,1751,15,0.005479499
IL,1751,17,0.005479499
IL,1751,34,0.005479499
IL,1842,5,0.008492019
IL,1842,14,0.008492019
IL,1842,15,0.008492019
IL,1855,5,0.008593246
IL,1855,14,0.008593246
IL,1855,15,0.008593246
IL,1873,17,0.003549588
IL,1873,34,0.003549588
IL,1913,5,0.007561607
IL,1913,14,0.007561607
IL,1913,15,0.007561607
PD,1199,6,0.000593802
PD,1199,14,0.000593802
PD,1199,15,0.000593802
PD,1199,25,0.000593802
PD,1199,27,0.000593802
PD,1199,29,0.000593802
PD,1199,37,0.000593802
PD,1199,56,0.000593802
PD,1199,57,0.000593802
PD,1209,2,0.000593802
PD,1209,5,0.000593802
PD,1209,10,0.000593802
PD,1209,28,0.000593802
PD,1250,2,0.000593802
PD,1250,5,0.000593802
PD,1250,10,0.000593802
PD,1250,27,0.000593802
PD,1250,28,0.000593802
PD,1325,2,0.000593802
PD,1325,5,0.000593802
PD,1325,10,0.000593802
PD,1325,28,0.000593802
PD,1521,81,0.000593802
PD,1636,2,0.000593802
PD,1636,5,0.000593802
PD,1636,10,0.000593802
PD,1636,27,0.000593802
PD,1636,28,0.000593802
PD,1650,6,0.000593802
PD,1650,14,0.000593802
PD,1650,15,0.000593802
PD,1650,27,0.000593802
PD,1650,29,0.000593802
PD,1650,37,0.000593802
PD,1650,56,0.000593802
PD,1650,57,0.000593802
PD,1730,6,0.000266499
PD,1730,14,0.000266499
PD,1730,15,0.000266499
PD,1730,27,0.000266499
PD,1730,37,0.000266499
PD,1730,56,0.000266499
PD,1730,57,0.000266499
PD,1767,2,0.000593802
PD,6273,15,0.004091855
PD,6368,15,0.004091855
PD,6368,73,0.004091855
PD,6457,15,0.004091855
PD,6551,15,0.004091855
PD,6551,73,0.004091855
PD,6800,15,0.004091855
